15,5250,9571
6,5369,9650
7,5369,9650
14,6569,9651
5,5449,9770
13,8649,9771
8,10167,12249
9,9768,12769
10,8968,12849
12,8768,13249
13,11168,13369
11,8848,13849
14,10968,13849
15,10448,13849
5,10447,14048
6,10967,14048
4,2530,15447
13,14046,15848
14,14566,15968
0,8847,16047
15,15046,16048
1,8767,16167
2,8767,16167
3,8767,16167
5,14565,16167
6,14565,16247
7,10967,16247
8,12966,16647
12,14046,17367
10,12966,17447
11,14046,17447
15,16446,17647
14,16565,17767
8,16965,17967
9,12966,17967
9,25441,26363
10,25441,26364
12,25442,26364
13,25442,26364
9,26961,27843
10,26961,27843
8,28760,29642
10,28760,29642
13,28760,29643
9,28760,30442
12,28760,30442
5,29559,30641
6,29559,30642
7,29360,30642
8,31159,32041
9,31159,32041
10,31159,32041
12,31159,32042
13,31160,32042
4,31958,33240
5,32358,33440
7,32358,33441
6,31958,33640
5,34158,35040
6,34158,35040
7,34158,35040
11,34158,35040
14,34158,35041
13,34038,35160
0,34157,35439
1,34157,35439
2,34157,35439
8,34158,35440
9,34038,35440
10,34158,35440
12,34038,35440
15,34159,35441
3,36756,37638
4,36357,37639
14,36238,37640
0,35556,38238
1,35557,38238
2,35557,38238
5,35557,38238
6,35557,38239
7,35557,38239
13,35558,38239
15,35558,38239
14,37757,38639
8,35557,38958
9,35557,38958
10,35557,38959
11,35558,38959
12,35558,38959
0,40155,41037
8,40155,41038
9,40156,41038
10,40156,41038
11,40156,41038
12,40156,41038
7,41635,42837
1,44353,45435
4,44353,45436
5,44353,45436
6,44354,45436
7,44354,45436
14,44354,45436
15,44354,45437
0,44353,45555
2,44353,45555
8,44354,45556
9,44354,45556
10,44354,45556
11,44354,45556
12,44354,45556
13,44354,45556
0,48151,49833
1,48151,49834
2,48152,49834
6,47952,49834
7,48152,49834
11,47953,49834
13,47953,49835
14,48153,49835
4,50151,51033
2,50151,51833
3,50951,51833
14,50152,51834
15,48153,51834
1,50151,52232
11,50152,52233
13,50152,52234
0,50151,53232
1,52350,53232
2,52350,53232
5,47952,53233
6,50151,53233
7,50151,53233
8,47952,53233
9,47952,53233
10,47952,53233
11,52351,53233
12,47953,53233
13,52351,53233
14,52351,53234
15,52351,53234
3,54549,55951
15,53751,55952
